species group name	protonym	 Author
896: bidentatus	Aenictus (	Aenictus) bidentatus Donisthorpe, 1942e: 701 
898: binghamii	Aenictus binghaniri 	Forel, 1900b: 76 
899: biroi	Aenictus biroi 	Forel, 1907a: 10 
900: bobaiensis	Aenictus bobaiensis 	Zhou & Chen, 1999: 64
901: bodongjaya	Aenictus bodongjaya 	Jaitrong & Yamane, 2011: 30
902: boelianensis	Aenictus martini var. boelianensis 	Forel, 1913k: 20 
903: bottegoi	Aenictus bottegoi 	Emery, 1899a: 499
904: brazzai	Aenictus eugenii var. brazzai 	Santschi, 1910c: 355 
905: breviceps	Aenictus fergusoni var. breviceps 	Forel, 1912d: 105 
906: brevicornis	Typhlatta brevicornis 	Mayr, 1879: 669 
910: buttgenbachi	Aenictus buttgenbachi 	Forel, 1913b: 313 
911: camposi	Aenictus camposi 	Wheeler, W.M. & Chapman, 1925: 48
913: caroli	Aenictus eugenii subsp. caroli 	Forel, 1910c: 248 
914: carolianus	Aenictus carolianus 	Zettel & Sorger, 2010b: 121
915: certus	Aenictus certus 	Westwood, 1842: 79 
920: changmaianus	Aenictus changmaianus 	Terayama & Kubota, 1993: 68
921: chapmani	Aenictus chapmani 	Wilson, 1964a: 456
922: chevalieri	Aenictus humeralis var. chevalieri 	Santschi, 1910g: 754 
923: clavatus	Aenictus clavatus 	Forel, 1901a: 471 
924: clavitibia	Aenictus clavitibia 	Forel, 1901a: 472 
925: concavus	Aenictus concavus 	Jaitrong & Yamane, 2013: 178
926: congolensis	Aenictus rixator var. congolensis 	Santschi, 1911g: 207 
927: continuus	Aenictus bengalensis var. continuus 	Forel, 1901a: 476 
928: cornutus	Aenictus cornutus 	Forel, 1900b: 75 
929: crucifer	Aenictus crucifer 	Santschi, 1914b: 68
930: currax	Aenictus currax 	Emery, 1900c: 310
931: cylindripetiolus	Aenictus cylindripetiolus 	Jaitrong & Yamane, 2013: 180
933: dentatus	Aenictus aitkeni var. dentata 	Forel, 1911d: 383 
934: deuqueti	Aenictus deuqueti 	Crawley, 1923b: 177 
935: diclops	Aenictus diclops 	Shattuck, 2008c: 8
936: dlusskyi	Aenictus dlusskyi 	Arnol'di, 1968: 1800
937: doryloides	Aenictus doryloides 	Wilson, 1964a: 460
938: doydeei	Aenictus doydeei 	Jaitrong & Yamane, in Jaitrong, et al. 2011: 319
939: duengkaei	Aenictus duengkaei 	Jaitrong & Yamane, 2012: 55
941: eugenii	Aenictus eugenii 	Emery, 1895h: 17
943: exiguus	Aenictus exiguus 	Clark, 1934b: 21
944: exilis	Aenictus exilis 	Wilson, 1964a: 462
945: facetus	Aenictus clavitibia subsp. facetus 	Forel, 1911b: 196 
946: falcifer	Aenictus alluaudi var. falcifer 	Santschi, 1924b: 203
947: feae	Aenictus feae 	Emery, 1889b: 486
948: fergusoni	Aenictus fergusoni 	Forel, 1901a: 473 
949: foreli	Aenictus foreli 	Santschi, 1919b: 234 
950: formosensis	Aenictus ceylonicus var. formosensis 	Forel, 1913f: 188 
951: fraterculus	Aenictus (	Aenictus) aratus subsp. nesiotis var. fraterculus Wheeler, W.M. & Chapman, in Wheeler, W.M. 1930g: 209 
953: fuchuanensis	Aenictus fuchuanensis 	Zhou, 2001b: 59
954: fulvus	Aenictus fulvus 	Jaitrong & Yamane, 2011: 34
955: fumatus	Aenictus latiscapus var. fumatus 	Wheeler, W.M. 1927d: 1 
956: furculatus	Aenictus forculatus 	Santschi, 1919b: 233 
957: furibundus	Aenictus furibundus 	Arnold, 1959: 335
